所屬區域,站位編號,站位名稱,站點位置,早九可借車數,早九空柱數量,早九借車人數,早九還車人數,晚五可借車數,晚五空柱數量,晚五借車人數,晚五還車人數,總車柱,早九可借車數,早九空柱數量,晚五可借車數,晚五空柱數量
社科法律系館周邊,10-3,臺大社會系館南側,臺大社會及社工館南側,8,12,2,24,11,9,9,0,20,4,16,18,2
社科法律系館周邊,10-4,臺大黑森林西側,臺大霖澤館南側,12,15,2,2,12,15,9,3,27,6,21,6,21
社科法律系館周邊,10-5,臺大社科院圖書館前,辛亥路與復興南路口西南側,8,11,2,0,8,11,9,4,19,7,12,4,15
新生及計中周邊,11-1,臺大天文數學館南側,臺大天文數學館西南側,8,10,0,5,13,5,0,2,18,5,13,17,1
新生及計中周邊,11-2,臺大新生教室南側,臺大新生教學館南側,8,4,0,12,10,2,1,2,12,12,0,12,0
新生及計中周邊,11-3,臺大原分所北側,臺大原子與分子科學研究所東北側,20,10,0,6,19,11,0,2,30,30,0,27,3
新生及計中周邊,11-4,臺大女九舍西南側,臺大女九舍西南側,2,8,0,52,6,4,1,3,10,2,8,9,1
新生及計中周邊,11-5,臺大思亮館東南側,臺大思亮館東南側,10,9,0,10,13,6,1,0,19,19,0,18,1
新生及計中周邊,11-6,臺大計資中心南側,臺大計算機網路資訊中心南側,5,11,0,12,12,4,1,0,16,2,14,15,1
新生及計中周邊,11-7,臺大心理系館南側,臺大心理學系南側,20,13,0,9,16,17,1,0,33,33,0,8,25
舊體、博雅、普通,12-1,臺大舊體育館西側,臺大田徑場東側,27,29,1,10,26,30,2,0,56,14,42,13,43
舊體、博雅、普通,12-2,臺大博雅館西側,臺大博雅館西側,7,13,3,11,13,7,3,0,20,5,15,18,2
舊體、博雅、普通,12-3,臺大小福樓東側,臺大小福樓東側,6,15,3,16,6,15,2,0,21,3,18,3,18
新體區,13-1,辛亥新生路口東南側,辛亥新生路口東南側,28,12,0,3,31,9,0,0,40,40,0,40,0
新體區,13-2,臺大新體育館東南側,臺大體育館東側,8,12,0,4,15,5,2,0,20,6,14,19,1
新體區,13-3,臺大凝態館南側,臺大物理系館南側,2,23,0,2,6,19,0,0,25,0,25,3,22
新體區,13-4,臺大綜合體育館停車場前,臺大綜合體育館北側,12,17,0,4,7,22,0,0,29,8,21,3,26
捷運科技大樓站,14-1,捷運科技大樓站,復興南路二段235號前,12,9,4,2,3,18,1,2,21,21,0,2,19
捷運科技大樓站,14-2,復興南路二段273號前,復興南路二段273號西側,5,4,3,1,3,6,1,2,9,9,0,1,8
捷運科技大樓站,14-3,和平復興路口西北側,復興南路二段236號,12,8,2,1,6,14,1,1,20,20,0,3,17
捷運科技大樓站,14-4,捷運科技大樓站(台北教育大學),和平東路二段134號前,4,10,1,20,4,10,0,1,14,2,12,2,12
捷運台電大樓站,15-1,捷運臺電大樓站(2號出口),辛亥路一段/羅斯福路三段口北側,2,6,0,8,3,5,0,0,8,2,6,1,7
捷運台電大樓站,15-2,辛亥路一段30號前,辛亥路一段30號,12,22,0,8,12,22,0,0,34,9,25,6,28
捷運台電大樓站,15-3,捷運臺電大樓站(1號出口),辛亥路一段/羅斯福路三段南側,0,8,0,4,2,6,0,0,8,0,8,1,7
捷運台電大樓站,15-4,羅斯福路三段245號前,羅斯福路三段245號,2,15,7,7,3,14,0,0,17,0,17,2,15
溫州街及新生南校門,16-1,新生南路三段52號前,新生南路三段52號,2,3,2,1,2,3,1,1,5,5,0,1,4
溫州街及新生南校門,16-2,溫州停車場,新生南路三段54巷/溫州街口,3,13,2,3,3,13,1,2,16,2,14,2,14
溫州街及新生南校門,16-3,新生南路三段66號前,新生南路三段66號東側,10,10,2,2,8,12,1,3,20,20,0,4,16
溫州街及新生南校門,16-4,新生南路三段82號前,新生南路三段82號,2,3,1,1,1,4,1,3,5,1,4,1,4
溫州街及新生南校門,16-5,溫州公園,羅斯福路三段283巷11號,14,31,1,1,15,30,1,1,45,9,36,7,38
溫州街及新生南校門,16-6,臺大農業陳列館北側,農業陳列館北側,9,6,1,0,8,7,1,1,15,15,0,13,2
溫州街及新生南校門,16-7,新生南路三段94巷口,新生南路三段94號前,4,7,1,0,2,9,0,0,11,2,9,1,10
溫州街及新生南校門,16-8,羅斯福路三段311號前, 羅斯福路三段311號,,,0,0,,,0,0,,,,,
,,,,,,,,,,,,,,,,
共82站,,,,,,,,,,,,,,,,
